country_name,country_code,year,population,pop_growth,life_expectancy,gdp_growth,sanitation,electricity,water_access,co2_emissions,labor_force,is_covid,log1p_gdp_per_capita,electricity_water_interaction,basic_services_gap
"Korea, Dem. People's Rep.",PRK,2022.0,-0.05529962435816981,-0.5645180513601549,73.641,0.025647109314730184,-0.23126693032378412,-0.9790641516446046,0.3872862275772977,-0.27644458877981176,2.115058803054238,0,-0.007019596536828947,-0.7837658491886073,0.41141007741583385
Liberia,LBR,2020.0,-0.2185754491510283,0.49492419982080793,61.267,-1.0615345593888552,-0.8697161520835082,-1.9392696378984908,-0.6370488335758557,-0.5019791339649965,1.507500209016161,1,-1.4175935813598157,-1.7457745551729373,1.3509566632331358
Uruguay,URY,2000.0,-0.23309383028093683,-0.559883163847873,74.693,-0.8840817420695382,0.08323778639404181,0.5409659354510302,0.5710426572103681,-0.33695118772904,-0.08965159101879057,0,0.12383507138432037,0.5921638676906477,-0.4131845745681732
Chile,CHL,2014.0,-0.12055519745906906,-0.1736075957221007,79.714,-0.256486236470461,1.3022578648753285,0.6260025836801568,0.6266958893388846,-0.04823567715711781,0.08805527949267723,0,0.5889297563970268,0.696551802846199,-0.9690130400824235
Spain,ESP,2012.0,0.10230862171758469,-0.7515214426664426,82.4268292682927,-1.041745690942642,1.3827648493855051,0.6260025836801568,0.7403572316188128,0.1321388136081946,-0.1659982397405064,0,1.0160148342293194,0.7588300182355148,-1.0319598644606727
St. Vincent and the Grenadines,VCT,2002.0,-0.25739981114858385,-0.8759855262858313,70.658,0.34192565176034106,-0.16084501708607749,0.0024004966665631513,0.4958709317455008,-0.46686364968979577,0.27661141061196826,0,-0.18413544186828829,0.09022919261233431,-0.06342892714907646
"Korea, Rep.",KOR,2001.0,0.10691184689508226,-0.3159797532177252,76.4121951219512,0.23804098392929035,1.2550468420737124,0.6260025836801568,0.47833024493703885,0.5576234763173902,0.0053798954163978615,0,0.46641362955701643,0.6152581336611527,-0.9108317514037976
Djibouti,DJI,2011.0,-0.2509610130334609,0.4167951515139886,61.337,0.025647109314730184,-0.7827612725518227,-0.8585955666533422,-0.6082875957767662,-0.4486245736370042,-2.7899120089658,0,-0.9412893890259543,-0.9994430385260492,0.8478511477056625
Pakistan,PAK,2019.0,1.5210137573986682,0.25742992278050897,66.729,-0.1376313166389231,-0.27267176139481075,0.40986776943112735,0.17535524195115906,-0.4271952701678905,-0.9502591431226607,0,-0.9016886096617065,0.274661124391855,-0.10694889825634452
Kenya,KEN,2014.0,0.09674555645402325,0.6587547089674968,61.99,0.28763646690958034,-0.8635403705220164,-1.6416413690965483,-1.729860325524414,-0.48284805874404213,1.3176381483792619,0,-0.8608357594770939,-1.7583106426565778,1.5062585490097093
Madagascar,MDG,2017.0,-0.051757021473578455,0.8227492559012314,63.433,0.10441060888738683,-1.5546615395770267,-2.063281416565967,-2.1620710294671097,-0.5051322503405663,2.4674588605750007,0,-1.561135121216914,-2.0317485793974535,2.0844772329659005
